text,first_frame,avg_confidence
Skinte,30,0.9999194067368633
Type Ihelp for a list of commands,30,0.8420470282591835
[00.00] Snowdown map skin and accents are enabled,30,0.9473427185135277
[00.00] They can be toggled on or offffrv pptions,30,0.6609525586519681
[00:| 3] Starlight Poppy: draven thresh are trist thresh,30,0.9061461747273721
[00.| 3] Starlight Poppy: from last game xd,30,0.8442210501129804
[00.39] Shaco eats Ashe Clown (Shaco): ward,30,0.860696773354769
80,30,0.9995721520064854
30,30,0.9999074467751964
0.62,30,0.552062275164236
[00.00] They can be toggled on or off in Options,60,0.7484633551786765
[00:| 3] Starlight Poppy: from last game xd,60,0.8532713329730749
[00:40] Shaco eats Ashe Clown (Shaco): pls,60,0.7534713829228631
[00.45] arschbert (Orianna) is on the way,60,0.8367517189416941
[00.49] [All] Rutho (Kled): your invade is racism,60,0.659232924611338
[00.52] Shaco eats Ashe Clwn (Shaco):,60,0.6813908981055289
fuck she,60,0.9999276783900529
0.6,60,0.9990922808647156
[00.49] [AlI] Rutho (Kled): your invade is racism,90,0.5098667818316474
[00.52] Shaco eats Ashe Clown (Shaco):,90,0.985583554185962
[00.57] Shaco eats Ashe Clown (Shaco): fuck she star,90,0.7556131528713356
[0 [:02] [All] Starlight Poppy (Illaoi): malphite from las,90,0.871738405751884
[0[.09] [All] Skinte BnCo (Thresh): the racist,90,0.6009115399810936
"Imsg ""Starlight Poppy"" brl",90,0.6987908987696925
En 3 S A 1 Lojjo_oi,120,0.009383535607769616
[00.57] Shaco eats Ashe Clow/r (Shaco): fuck she star,120,0.47572467206145824
[01.02] [All] Starlight Poppy (Illaoi): malphite from las,120,0.772452555759006
[0[.09] [All] Skinte BnCo (Thresh): the racist y,120,0.38603422205639426
[0I:12] [To] Starlight Poppy: brorze icon Fiakia,120,0.6039229930229869
[0I:16] [Alj Rutho (Kled): TELL ME,120,0.6118909037332295
[0[:19] [All] Rucho (Kled): IN WHICH POINT,120,0.413203362569045
[01.20] [All] KrowNNN (Draven): didnt he say some,120,0.736416730707538
[0[.21] [All] Rutho (Kled): WAS RASISTIC,120,0.8035722481955084
[01.22] Starlight Poppy (Illaoi): racist about?,120,0.8554515933727659
[0[.21] [All] Rutho (Kled): [ WAS RASISTIC,150,0.4711317589843959
[0[.27] Shaco eats Ashe Clown (Shaco): :D,150,0.6210818640072409
[0|.28] Shaco eats Ashe Clown (Shaco): xd,150,0.5749709025108702
[0[:33] [All] Rutho (Kled): i just report u 2 guys,150,0.4577681576022475
[0[:36] Skinte BnCo (Thresh): arabs,150,0.4669681990613171
[01.38] Shaco eats Ashe Clown (Shaco): ty,150,0.5675932674291341
84,150,0.9999998314126101
33,150,0.9999942680334141
0.7,150,0.6340674161911011
0.8,180,0.9999824495142035
[01.21] [All] Rutho (Kled): WAS RASISTIC,210,0.628235036555525
[0[.22] Starlight Poppy (Illaoi): racist about?,210,0.6975440390579685
[01.28] Shaco eats Ashe Clown (Shaco): xd,210,0.9192612569011962
[0|.36] Skinte BnCo (Thresh): arabs,210,0.4032889047877428
"[0[.38] Shaco eats Ashe Clown (Shaco): ty ,",210,0.6536594535850013
[01:42] Skinte BnCo (Thresh): syrian,210,0.7239081096661911
82,240,0.999999915706304
35,240,0.9999941837398596
[01.2I] [All] Rutho (Kled): WAS RASISTIC,270,0.6739549897499735
[0|.27] Shaco eats Ashe Clown (Shaco): :D,270,0.6152937757728928
[0|.28] Shiaco eats Ashe Clown (Shaco): xd,270,0.7067802281589209
[0I.33] [All] Rutho (Kled): i just report u 2 guys,270,0.46385930280732945
[0|.36] Skinite BnCo (Thresh): arabs,270,0.45692740855081215
[0|.38] Shaco eats Ashe Clown (Shaco): ty,270,0.4968604059221565
87,270,0.9999979769518709
[01.21] [All] Rutho (Kled): 1 WAS RASISTIC,330,0.5639143460886032
[0[.28] Shaco eats Ashe Clown (Shaco): xd,330,0.6021104378397272
[0I.36] Skinte BnCo (Thresh): arabs,330,0.33598923060862723
[0[.38] Shaco eats Ashe Clown (Shaco): ty,330,0.6738115278159018
[0|:42] Skinte BnCo (Thresh): syrian,330,0.636319156725923
[01.33] [All] Rutho (Kled): i just report u 2 guys,360,0.6724177703703859
[0I.:38] Shaco eats Ashe Clown (Shaco): ty,360,0.44041609425478423
[0I:42] Skinte BCo (Thresh): syrian,360,0.5220944237188788
[03:12] Starlight Poppy (Illaoi) has targeted Rutho,360,0.6865964384768373
[03:|3] Shaco eats Ashe (Shaco) is on the way,360,0.5146395784635791
[03:[4] Rutho (Kled) has drawn first bloodl,360,0.802779365062755
[03.20] Starlight Poppy (Illaoi): Kled Flash,360,0.8150265471105179
[01.36] Skinte BnCo (Thresh): arabs,390,0.6830002060853373
"[01.38] Shaco eats Ashe Clown (Shaco): ty ,",390,0.6240518559544068
[01.42] Skinte BnCo (Thresh): syrian,390,0.8112401241499735
[03:13] Shaco eats Ashe (Shaco) is on the way,390,0.768003987749011
[03.[4] Rutho (Kled) has drawn first blood!,390,0.6551549945772789
[03.29] Starlight Poppy (Illaoi) purchased Control Wa,390,0.9432909676728176
91,390,1.0
38,390,0.9999961224921389
0.85,420,0.7707584625326558
[0/.38] Shaco eats Ashe Clown (Shaco): ty,450,0.8678571294391
[03:[3] Shaco eats Ashe (Shaco) is on the way,450,0.8080954066669697
[03:14] Rutho (Kled) has drawn first bloodl,450,0.6311654497895196
[03.29] Starlight Poppy (Illaoi) purchased Cortrol WVa,450,0.8375948521935666
[04.01] Shaco eats Ashe (Shaco) is on the way,450,0.8023140228561172
[03:[4] Rutho (Kled) has drawn first blood!,480,0.6435530514344506
[04:[3] Shaco eats Ashe (Shaco) has targeted Brad P],480,0.520573943120092
[04.23] Shaco eats Ashe (Shaco) is on the way,480,0.32982529706024744
[04.24] Shaco eats Ashe (Shaco) is on the way,480,0.6269784421241575
Ut,510,0.012059104261943988
[04.29] Shaco eats Ashe (Shaco) is on the way,510,0.8243801052963544
[04.30] Shaco eats Ashe (Shaco) is on the way,510,0.5368128277352979
[04.35] KrowNNN (Draven Xayah-Flashi,510,0.6445651507153596
[04.36] KrowNNN (Draven): Karma Flash,510,0.6154104718139604
[04.36] KrowNNN (Draven): Karnia Agrite,510,0.40831017512755585
[04.36] Shaco eats Ashe (Shaco) is on the way,510,0.9558457406163816
[04.37] KrowNNN (Draven): Xayah Heal,510,0.7265184707037208
[04.37] KrowNNN Drayen): Elise Flash,510,0.70130633987189
92,510,0.9999994942378553
[04.37] KrowNNN (Draven): Xayah Hleal,540,0.549703998140847
[04.37] KrowNNN (Drayen): Elise Flash,540,0.7296940530625801
[0441] KrovNNN (Draveni): Karrria Flash,540,0.4718894689508464
[04.42] KrorNNN (Draven): Karrria Igrite,540,0.3331293164774739
[04.42] KrowNNN (Draven): Xayah Flash,540,0.6265044380253432
[04.43] KroNNN (Draven): Xayah Hleal,540,0.5683513005286501
[04.44] KrowNNN (Draver): Elise Flash,540,0.6442855922000478
[04.44] Stiaco eats Ashe (Shaco): 9s,540,0.840696083266377
[04.41] KrowNNN (Draven): Karma Flash,570,0.6646953692108422
[04.42] KrowNNN (Draven): Karma Ignite,570,0.7665463708493101
[04.43] KrowNNN (Draven): Xayah Heal,570,0.7052670303540084
[04.44] KrowNNN (Draven): Elise Flash,570,0.975987530492436
[04.44] Shaco eats Ashe (Shaco): Q 9s,570,0.9139450739805308
[04.59] Skinte (Thresh) purchased Control Ward,570,0.7984511372442001
[05.07] Starlight Poppy (Illaoi): that's so stupid,570,0.8760783598297189
96,570,0.9999960381985386
41,570,0.8713487386703491
a  3nn 1,600,0.010290943468047275
[05.18] KrowNNN (Draven): illaoi is op as fuck,600,0.6931150476973746
[04.44] Shaco eats Ashe (Shaco): Q - 9s,630,0.36984286375233266
[05.32] Starlight Poppy (Illaoi): kled too,630,0.9730754591683858
[05.33] Shaco eats Ashe Clown (Shaco): xd,630,0.8318718350087859
[05.34] [All] Rutho (Kled): who were u in the last gan,630,0.6711049910217142
[05.38] [All] Scarlight Poppy (Illaoi): leona,630,0.8721700650220701
[05.34] [AIl] Rutho (Kled): who were U inj the last gar,660,0.7164954552076095
[05.38] [AJl] Scarlighi Popp] (Illaoi): leona,660,0.738639995932839
[05.46] [Allj Rutho (Kled}; in my team!,660,0.5902888579625256
[05.46] Stiaco eats Ashe (Sfiaco) is OfJ the way,660,0.40257455133570536
[05.47] Shaco eats Ashje (Sfiaco) is Orl the way,660,0.26794163046357894
[05.48] Sfiaco eats Ashie (Sfiaco) is onj the way,660,0.29704747076372084
[05.49] Starlight Poppy: IJO,660,0.702739213554327
[05.50] [All] Scarlighc Popp] (Illaoi): no,660,0.750339397219697
[05.46] [All] Rutho (Kled): in my team?,690,0.5710805108425467
[05.46] Shaco eats Ashe (Shaco) is onJ the way,690,0.6686144582681384
[05.47] Shaco eats Ashe (Shaco) is OnJ the way,690,0.5303480225232509
[05.48] Shiaco eats Ashie (Sfiaco) is OfJ the wray,690,0.23153867476192402
[05.49j Starlight Poppy: nJo,690,0.35313275389947113
[05.50] [AJl] Scarlight Poppy (Illaoi): no,690,0.6040064461427535
[05.58] Stiaco eats Ashie (Sflco) sigrials that ereries,690,0.2957640256073579
[06.07] [All] Rutho (Kled): r U prerade with draven?,690,0.7882125188466693
88,690,0.9999989041821146
"[05.49] Starlight Poppy:"" no",720,0.704137081920346
[05.50] [All] Scarlight Poppy (Illaoi): no,720,0.7804920718670818
[05.58] Shaco eats Ashe (Shaco) signals that enemies,720,0.9225252491244574
[06.07] [All] Rutho (Kled): r u premade with draven?,720,0.5599234739926371
[06.|4] [AlI] Skinte BnCo (Thresh): are U stupid,720,0.7085443502239848
[06.|5] [All] Rutho (Kled): nvm im dumb,720,0.7628256545761116
[06:|6] arschbert (Orianna) purchased Control Ward,720,0.6642801044807082
[06:16] [All] Rutho (Kled): Ye,720,0.6749566181132824
0.82,720,0.511688611169161
[05.58] Shaco eats Ashe (Shaco) sigrals that eneries,750,0.7654827639272049
[06.07] [All] Rucho (Kled): T u premade with draven?,750,0.5544969393524561
[06:[4] [All] Skinte BnCo (Thresh): are u stupid 1,750,0.722752360054792
[06:[5] [All] Rucho (Kled): nvm im dumb,750,0.5458173054730755
[06:16] arschbert (Orianna) purchased Coritrol WVarc,750,0.6590817466812158
[06:16] [All] Ruchio (Kled): Ye,750,0.544490793236775
[06.32] [All] Skinte BnCo (Thresh): racistr and dumb,750,0.7958381552764403
[06.36] [Allj Skinte BnCo (Thresh): nice combo,750,0.6823834332675339
44,780,0.8700169800069116
[06:16] arschbert (Orianna) purchased 500,810,0.789401629524334
[06:[6] [All] Rucho (Kled): Ye,810,0.49372067999898495
[06.32] [All] Skinte BnCo (Thresh): ra Consumables,810,0.9291575496381657
[06.36] [Allj] Skinte BnCo (Thresh); nil,810,0.4407016489970742
[07.01] Shaco eats Ashe (Shaco) signa ,810,0.6552220001471459
[07.02] Starlight Poppy (Illaoi) has clail,810,0.9245143711539331
150G),810,0.6010675015502911
[07.08] Shaco eats Ashe (Shaco) purc,810,0.7968760929411638
125,810,0.9901197784803497
0.73,810,0.6538479627272927
[07.02] Starlight Poppy (Illaoi) has claifred Rutho (Kle,870,0.7609733112629845
[07.08] Shaco eats Ashe (Shaco) purchased Control,870,0.9784590815837149
"[07.25] [All] Rutho (Kled): i definitly report U , u r bla",870,0.5811148742284605
reason,870,0.9997925277900155
[07.38] Shaco eats Ashe (Shaco) on the way,870,0.8692799196379785
[07.38] Shiaco eats Ashe (Shaco) is on the way,870,0.604814087839549
[07.39] Shaco eats Ashe (Shaco) is on the way,870,0.7506656663166261
[07.08] aco ears Ashe (Shaco) purchased Corrol,900,0.7742453207380057
"[07.25] [All] Rutho (Kledi; definitly report U , ur bla",900,0.6326878432349979
[0738] Sharereats Ashe (Shiazo) is On the ay,900,0.28331481175607875
"[07.,38] Shaco eats Ashe (Shaco) is Ofi the wry",900,0.19125116849672272
[07 39] Shaco eats Asfie (Shaco) is On the Fayy,900,0.2767993751119415
[07.44] Shaco eats Ashe Clwf} (Sfiaco): clean af,900,0.2051300118193631
[07.08] Shaco eats Ashe (Shaco) purchased Control V,930,0.8532376092840922
"[07.25] [All] Rutho (Kled): i definitly report U , ur bla",930,0.5503129373935319
[07.38] Shaco eats Ashe (Shaco) is on the way,930,0.8498506588889649
[07.44] Shaco eats Ashe Clown (Shaco): clean af,930,0.8570631409793453
[08.06] Shaco eats Ashe (Shaco) signals to be careful,930,0.7833752796420358
[08:| 3] Starlight Poppy (Illaoi): R . 39s,960,0.8214520954917367
[08:18] arschbert PiIS (Orianna): think barrier is UF,960,0.552433452789021
[08.20] Shaco eats Ashe (Shaco) is on the way,960,0.8216748875129486
[08.24] Shaco eats Ashe (Shaco) signals that enemies,960,0.7750931058641984
[08: | 3] Starlight Poppy (Illaoi): R - 39s,990,0.8207851579072843
[08:18] arschbert PiS (Orianna): think barrier is UF,990,0.7508010597024934
[08.28] arschbert PuIS (Orianna): he has 5 % bonus,990,0.5546924625470095
[08.3 I] Skinte (Thresh) purchased Sightstone,990,0.7209693403979893
0.95,990,0.569295996260228
[07.44] Shaco eats Ashe Clewn (Shaco): clean af,1020,0.5351511501335664
[08:|3] Scarlight Poppy (Illaoi): R - 39s,1020,0.6984829757565674
[08: |8] arschbert PiiIS (Orianna): think barrier is UF,1020,0.7157829949662917
[08.20j Shaco eats Ashe (Shaco) is on the way,1020,0.6495662010242674
[08.28] arschbert Pibls Orianna): he has 5 % bonus,1020,0.5169002069570743
[08.31] Skinze (Thresh) purchased Sightstone,1020,0.46705937936246644
13C,1020,0.5940609265901627
47,1020,0.9945456477791722
0.93,1020,0.5011670641819714
[08:| 3] Starlight Poppy (Illaoi): R - 39s,1050,0.8821554819709134
[08:18] arschbert PIiS (Orianna): think barrier is UF,1050,0.6834203869696405
[08.28] arschbert PIS (Orianna): he has 5 % bonus,1050,0.7345230143577027
[08.55] Shaco eats Ashe (Shaco) is on the way,1050,0.9656060309995127
[09.03] Shaco eats Ashe (Shaco): Elise Alive,1050,0.9088357786834419
0.83,1050,0.4870089803970396
130,1080,0.7299670487890001
[08.28] arschbert PHS (Orianna): he has 5 % bonus,1110,0.7774939830369704
[08.3 1] Skinte (Thresh) purchased Sightstone,1110,0.6237458734086885
[09.26] Skinte (Thresh): Xayah Heal,1110,0.8064409643678738
[09.31] Shaco eats Ashe (Shaco) is on the way,1110,0.8405823269605324
[08.3!] Skinte (Thresh) purchased Sightstone,1140,0.6682807976628985
[09.47] Shaco eats Ashe (Shaco) is on the way,1140,0.8247206539194917
12C,1170,0.5113852225094768
[09.55] arschbert (Orianna): Elise Flash,1200,0.7281932584441259
[09.56] arschbert (Orianna): Elise Flash,1200,0.9007913315100075
[T0:12] Shaco eats Ashe Clown (Shaco): okay,1200,0.5946776769659405
[I0:16] Shaco eats Ashe Clown (Shaco): i got baited,1200,0.5743347208827336
[I0.20] arschbert PulS (Oriarra): that was actually,1200,0.49407743030099827
[I0.22] arschbert PIjJS (Orjara): ye,1200,0.3007205012304262
yes,1200,0.9135244434084213
[IO:16] Shaco eats Ashe Clown (Shaco): got baited,1230,0.7154936996991694
[I0.20] arschbert PiIS (Orianna): that was actually,1230,0.6158629601721967
[10.22] arschbert PHIS (Orianna): ye,1230,0.32767720714711
[I0.26] arschbert PHS (Orianna): tbh,1230,0.6235837202823907
[I0.29] Shaco eats Ashe Clown (Shaco): yes cause tl,1230,0.7077781892359987
went rtop,1230,0.8989629170416514
[I0.30] Shaco eats Ashe Clown (Shaco): top,1230,0.7139715892628208
[I0.30] arschbert PHS (Orianna): would fell for tha,1230,0.7471857252634944
just sad cause even,1230,0.9751419574856818
0.92,1230,0.48960045683501996
[I0.22] arschbert PAS (Orianna): ye,1290,0.3653639448628065
[I0.26] arschbert PHlS (Orianna): tbh,1290,0.4159218096053207
[10.29] Shaco eats Ashe Clown (Shaco): yes cause tr,1290,0.37635725244641616
[I0.30] Shaco eats Ashe Clown (Shaco): tOP,1290,0.673205506250536
[10.30] arschbert PJS (Orianna): i would fell for tha,1290,0.49443314686975803
[I0:4I] Stiaco eats Ahe Cl2wJ (Shaco): just sad caus,1290,0.32197508192021085
[I:08] Shaco eats Asfe (Shaco) is on the way,1290,0.8028724526823248
[I0.30] arschbert PIIS (Oriarina): would fell for tha,1320,0.6805639206192278
[I0.41] Shaco eats Ashe Clown (Shaco): just sad caus,1320,0.492538249582605
[I:08] Shaco eats Ashe (Shaco) is on the way,1320,0.7503107441842944
[I: 0] arschbert (Oriarria) is on the way,1320,0.4062683079696461
[V:IO] Shaco eats Ashe (Shco) is on the say,1320,0.36953969918367857
[I:l6] Starlighe Popp] (Illaoi): how the fck this cham;,1320,0.5752862595928105
[I:9] KrowNNN (Draveru) signals that enemies are,1320,0.4669392653021881
[I.20] arschberc (Oriariria) is On the way,1320,0.3996443597028206
136,1320,0.4156401545168971
50,1320,0.998763888231434
'[I:10] arschbert (Orianna) is on the way,1350,0.4698476458428514
[I:l0] Shaco eats Ashe (Shaco) is on the way,1350,0.7221874733519389
[H:l6] Starlight Poppy (Illaoi): how the fck this champ,1350,0.6925510472727767
[I:19] KrowNNN (Draven) signals that enemies are,1350,0.7287864017556136
[I.20] arschbert (Orianna) is on the way,1350,0.7630629574626783
[1.25] Shaco eats Ashe (Shaco) signals that enemies,1350,0.7881178614196074
[I.26] Shaco eats Ashe (Shaco) has slain Char34 (Ka,1350,0.6175680245171961
"[I:33] Starlight Poppy (Illaoi): loses his passive, does",1350,0.6946476384020203
126,1350,0.28812036791416373
1.03,1350,0.654006480624109
[I:[9] KrowNNN (Draven) signals that enemies are,1380,0.6482380647846196
[I.25] Shaco eals Ashe (Shaco) signals that enemies,1380,0.7428582536647421
[I:33] Starlight Poppy (Illaoi): loses his passive; does,1380,0.6503108321209261
[I:40] KrowNNN (Draven): dont worry,1380,0.8612230434201736
[H:43] KrowNNN (Draven): just report him for raci,1380,0.8943446049494276
[I:48] Starlight Poppy (Illaoi) has targeted Rutho,1380,0.7200962848350589
138,1380,0.9818344962303175
"[1.33] Starlight Poppy (Illaoi): loses his passive, does",1410,0.840946053210275
[I:48] Starlight Poppy (Illaoi) has targeted Rucho,1410,0.7956180625875785
[I.56] Shaco eats Ashe Clown (Shaco): xD,1410,0.684086392892472
[I:59] Starlight Poppy (Illaoi): what did he say racist,1410,0.7944555389676292
[I.59] Skinte BnCo (Thresh): he will flame his entire,1410,0.7877286591049204
[I2.00] Rutho (Kled) has destroyed the first turret!,1410,0.6970375570761488
142,1440,0.7655974626541138
54,1440,0.9999998314126101
0.9,1440,0.9990590214729309
[I:48] Starlighc Poppy (Illaoi) has targeted Rutho,1470,0.8262877125944694
[I56] Shaco eats Ashe Clown (Shaco): XD,1470,0.41831250152704164
[I59] Scarlight Poppy (Illaoi): what did he say racisc,1470,0.7569259845600813
[I.59] Skirite BrCo (Thresh): he will flame his entire,1470,0.6650321123793015
[I2.00j Rutho (Kled) has destroyed the first turretl,1470,0.48939467668805176
[12:1I] KrowNNN (Draven): think hes from germaz,1470,0.46918846710863693
[I2.34] Shaco eats Ashe (Shaco) has claimed Brad PJ,1470,0.620902773097013
(Tearn Gold: I50G),1470,0.7329347538223625
131,1470,0.9997624869255707
[12.00] Rutho (Kled) has destroyed the first turret!,1500,0.8718324347425862
[12:H] KrowNNN (Draven): think hes from germar,1500,0.873974329586966
[12.34] Shaco eats Ashe (Shaco) has claimed Brad Plc,1500,0.8013439319368267
(Team Gold: I50G),1500,0.716141380981542
[12.41] Shaco eats Ashe (Shaco) is on the way,1500,0.7614031548998217
[12.49] arschbert PIS (Orianna): dont need ty,1500,0.7120084955521482
[12.5] arschbert PHlS (Orianna): ill take ours,1500,0.5496171307902569
[12.53] arschbert PIIS (Orianna): later,1500,0.5881548809437005
1.0,1500,0.9922860264778137
[12.49] arschbert PIIS (Oriarira): dont need ty,1530,0.38556055363339253
[12.51] arschbert PHlS (Oriariraa): ill take ours,1530,0.2612901121587512
[12.53] arschbert PHlS; (Orjarmja): later,1530,0.3649541217199757
[12.56] Shaco eats Ashe (Shaco) signals to be careful,1530,0.6637928282455942
[13.04] Rutho (Kled) is orJ killing 'spreel KrowN,1530,0.7017001612772256
[13.06] Starlight Poppy (Illaoi): he oneshots me,1530,0.8289275760535508
[13.07] Shaco eats Ashe (Shaco) is On the way,1530,0.46081319415549044
[13.07] Starlight Poppy (Illaoi): wle,1530,0.7705883469220834
144,1530,0.927021324634552
[13.OT] Shaco eatz Ashe (Sfiaco) is Ofl the wray,1560,0.2112388601057993
[13.OT] Scarlight Popp] (Jllaoi): wle,1560,0.6326616847230735
[1B:|0] Shaco eats Ashe (Shaco) has targeted Char3 },1560,0.30355716389526505
[13:|3] arschbert PliJS (Oriarii): get ninja tabi,1560,0.23167615842555603
[13:16] Scarlighc Poppy (Illaoi): 241 Gold,1560,0.616104833056009
