time,text,toxic,toxicity_type
0:16,Infernal Shaco (Diana) on che way,0,none
0:21,Infernal Shaco (Diana) asking for assistance,0,none
0:30,OMGBulbash Pisun (Fiora): fiora vs teemo,0,none
0:35,OMGBulbash Pisun (Fiora): havent done this matchup yet,0,none
0:37,StormX7 (Vayne) is on the way,0,none
0:58,Infernal Shaco (Diana) asking for assistance,0,none
1:46,Infernal Shaco 'SHACO (Diana}: chx,0,none
2:36,Ghosttowas (Teerro) has drawn first Bloodl,0,none
2:38,OMGBulbash Pisun (Fiora}: fck,1,text
2:36,Ghosttowas ( Teemo} has drawn first bloodl,0,none
3:19,OMGBulbash Pisun (Fiora): teemo,0,none
3:38,PgA lenoxBlack (Lissandra) signals that eneries are missing,0,none
3:40,PzA lenoxBlack (Lissandra): mid,0,none
3:41,PgA lenoxBlack (Lissandra) signals that enemies are missing,0,none
3:45,StormX7 (Vayne): ty,0,none
3:51,Infernal Shaco (Diara) is on the way,0,none
4:15,princeoftromso (Morgana) has targeced FSerralheing . (Oriatiha),0,none
4:18,Infertal Sriacry (Diana) has -argeted JICEMAN,0,none
4:22,Infernal Shaco (Diana) has targeted IICEMAN - (Vi),0,none
4:26,PgA IcnoxBlack (Lissandra) signals that enemies are missing,0,none
4:29,Infernal Sharo (Diara) is on the way,0,none
4:30,PgA lenoxBlack (Lissandra}: Orrialina Flash,0,none
4:43,princeoftromso (Morgana) on thc way,0,none
4:45,[All] PgA lenoxBlack (Lissandral: More gank plz :,0,none
4:29,Infernal Shaco (Diana) on che way,0,none
4:30,PgA lenoxBlack (Lissanidra): Oriarima Flash,0,none
4:31,Infernal Shaco (Diana) is on che way,0,none
4:43,princeoftromso (Morgana} is on the way,0,none
4:45,[All] PgA lenoxBiack (Lissandra): More gank plz,0,none
4:47,Infernal Shaco (Diana) is on the way,0,none
5:01,HIICEMAN (Vi) is on a killing spreel,0,none
5:01,PzA lenoxBlack (Lissandra) signals that enemies are missing,0,none
4:47,Infernal Shaco (Diana) on the way,0,none
5:01,PgA lenoxBlack (Lissandra) signals that enemies are missing,0,none
5:03,Infernal Shaco (Diana) signals that enemies are missing,0,none
5:09,Infernal Shaco #HECO (Diana): the hell xD,0,none
5:19,princeoftromso (Morgana): xD,0,none
5:21,princeoftromso (Morgana): sry,0,none
5:09,Infernal Shaco $HECO Diana : the hell xD,0,none
5:19,princeoftromso (Morgana) xD,0,none
5:49,StormX7 (Vayne) asking for assistance,0,none
5:58,StormX7 (Vayne): are Ivl Xd,0,none
5:19,priniceofti Jmso (orgaria) xD,0,none
5:58,StormX7 (Vayne): u are Ivl xd,0,none
6:03,Infernal Shaco $HRCO (Diana): yes why?,0,none
6:05,Irifcrnal Shaco (Diara): 85% towards Level,0,none
6:08,StormX7 (Vayne): 70% towards Level 5,0,none
6:04,StormX7 (Vayne}: just go farm,0,none
6:08,Sroriux7 (Vayne): 70% towards Level,0,none
6:32,Infcrnal Shaco (Diana) is on the way,0,none
6:45,Infernal Shaco (Diana): R Ready,0,none
6:08,StormX7 (Vayne): 709 towards Level 5,0,none
6:57,PzA lenoxBlack (Lissandra} signals that enemies are missing,0,none
6:47,Inferrial Shaco (Diana) on the way,0,none
6:57,PgA lenoxBlack (Lissandra) signals that cnemics are missing,0,none
7:04,PgA lenoxBlack (Lissandra): VI TOP,0,none
7:13,OMGBulbash (Fiora): Js,0,none
7:42,Infernal Shaco (Diana) has cargeted the Outer Turrez,0,none
7:13,OMGBulbash (Fiora}: W 3s,0,none
7:18,PgA lenoxBlack (Lissandra}; Oriarna Igrite,0,none
7:19,PgA lenoxBlack (Lissandra}; Oriariha Flash,0,none
7:25,PzA lenoxBlack (Lissandra} requests aid at the Outer Turrer,0,none
7:18,PgA lerioxBlack (Lissandra ; Orauriz Ignice,0,none
7:19,PgA lenoxBlack (Lissardra}; Oriar Flash,0,none
7:33,Infernal Shaco (Diana) has -argeted FSerralheirD - (Oriarna),0,none
7:36,Infernal Shaca (Diara) signals PgA lenoxBlack (Lissandra) to fall back,0,none
7:40,Infernal Shaco (Diara) signals PgA lenoxBlack - {Lissandra) fall back,0,none
7:44,Irfernal Shaco (Diana) on the way,0,none
7:48,Infernal Shaco (Diana) has shutdown JICEMAN ()rand claimed their,0,none
7:50,[All] Infernal Shaco SHLCO (Diana}:,0,none
7:52,Infernal Shaco (Diara) is on the way,0,none
7:57,Infernal Shaco (Diana) has cargeted Ghosctowas - (Teemo),0,none
8:02,Infernal Shaco $HFCO Diana): LOL,0,none
8:05,[AII] IICEMA V (Vi) FDIIIIID,0,none
8:05,[All] Ghosttowas (Teemo):,0,none
8:20,Infernal Shaco (Diana) purchased Control Ward,0,none
8:20,StormX7 (Vayne) is on che way,0,none
8:21,[AlI] TTCEMAN (Vij: oneshoted me xD,0,none
8:25,[All] Infernal Shaco #HECO (Diana): hehe,0,none
8:20,StormX7 (Vayne) on che way,0,none
8:25,[AIl] Infernal Shaco SHLCO (Diana): hehe,0,none
8:33,[All] Infernal Shaco SHECO (Diana): buc i just got that burst,0,none
8:37,Infernal Shaco $HECO (Diana): teemo got this all day long,0,none
8:44,OMGBulbash (Fiora) signals chat enemies are missing,0,none
8:33,[All] Infernal Shaco $HZCO (Diana): but i just got that burst,0,none
8:37,Infernal Shaco $HZCO (Diana): teemo got this all day long,0,none
8:37,[All] Infernal Shaco $HECO (Diana): DS,0,none
8:44,OMGBulbash (Fiora) signals that enemies are missing,0,none
8:50,princeoftromso (Morgana) purchased Sightstone,0,none
9:04,OMGBulbash (Fiora} signals that enemies are missing,0,none
9:05,Infernal Shaco (Diana) on the way,0,none
9:04,OMGBulbash (Fiora) signals that enemies are missing,0,none
9:04,OMGBulbash (Fiora) signals that cnemies are missing,0,none
9:26,Ghoscrowas ( Teerro) is on a killing spreel,0,none
9:28,princeoftromso (Morgana) signals that enemies are missing,0,none
9:28,OMGBulbash Pisun (Fiora); fck,0,none
9:29,OMGBulbash Pisun (Fiora): asokjdahsjo,0,none
9:15,Infertal Shaco (Diana) on che way,0,none
9:26,Gloscbowa: (Teemo) is on killing spreel,0,none
9:38,The enemy TXM has slain the Mountain Drakel,0,none
9:50,PgA lenoxBlack (Lissandra) asking for assistance,0,none
9:52,PgA lenoxBlack (Lissandra) asking for assistance,0,none
9:53,PzA lenoxBlack (Lissandra) asking for assistance,0,none
9:53,PgA lenoxBlack (Lissandra) is asking for assistance,0,none
9:55,Infernal Shaco (Diana} is on the way,0,none
9:57,Infernal Shaco (Diana) is on the way,0,none
9:53,PgA lenoxBlack (Lissandra) asking for assistance,0,none
9:55,Infernal Shaco (Diana) is on the way,0,none
9:57,Infernal Shaco (Diana) on the way,0,none
10:27,Infernal Shaco (Diana) signals to be careful,0,none
